 21Alp And,-0.29830361305078,0.03659140721737278,0.5077307316040216,9.183564230629088e+17,
 11Bet Cas,1.16677156542104,0.04000365069606321,1.0323660598158761,5.152241745686045e+17,
   Eps Phe,0.714914879889254,0.04105449773072573,-0.798435569753521,1.325462878647496e+18,
 88Gam Peg,-2.21608654098431,0.057752214528200396,0.26500409033676087,3.1518667839544223e+18,
  8Iot Cet,-1.18230804742336,0.08477086168085032,-0.15400487706053914,2.740388615889317e+18,
   Bet Hyi,3.45195595808307,0.11193393046577965,-1.3483547264133195,2.3065313062426157e+17,
   Kap Phe,2.07245552483561,0.11432751514453747,-0.7623582347810903,7.258709907060383e+17,
   Alp Phe,0.523472656360407,0.11467303012257316,-0.7383636688342898,7.322443240368686e+17,
 17Zet Cas,-2.62403678647631,0.16131692907484746,0.9406789133167084,5.651424141925582e+18,
 31Del And,0.808604883428068,0.17159476201480323,0.5386300012368881,9.585826596742368e+17,
 18Alp Cas,-1.98788013442676,0.17674274590657754,0.9867639424835967,2.1623528952287107e+18,
 16Bet Cet,-0.300052242937249,0.19018476740528403,-0.313926859061113,9.064857759962907e+17,
 24Eta Cas,4.58641715047222,0.21417375946858544,1.0090891195013547,1.8368221807794346e+17,
 27Gam Cas,-4.22044183852476,0.24743686394497783,1.0597071926761477,5.800145829870994e+18,
 37Mu  And,0.754713493067187,0.24762568937142185,0.6719387615838176,1.2894599170461228e+18,
   Bet Phe,-0.597850845618744,0.28835068115667584,-0.8153914793904286,1.8746522366290232e+18,
   Zet Phe,-0.726507247885023,0.29838294888886985,-0.9642216725122963,2.646378714829648e+18,
 31Eta Cet,0.674749347889309,0.2992704173975824,-0.17770816780100118,1.1127578728782424e+18,
 43Bet And,-1.86108350332348,0.3042543447029924,0.6217007741707522,1.8861109911316436e+18,
 45The Cet,0.872699924824095,0.3666246768700249,-0.14281599429381417,1.0834542069843293e+18,
 37Del Cas,0.240031151930239,0.37441697856823386,1.0513061168187174,9.40468631969328e+17,
   Gam Phe,-0.868686131190047,0.3855680774001142,-0.7560369965838283,2.2135420240253722e+18,
   Del Phe,0.656868652795442,0.39815189170768234,-0.8564867679092343,1.3930824295672105e+18,
 99Eta Psc,-1.1553422692542,0.39917089608280687,0.2678352775791469,2.7823963764575017e+18,
   Alp Eri,-2.77178474889566,0.4263513326391228,-0.9989681710662681,1.3605280341672701e+18,
 51    And,-0.0438358297847716,0.4275694773365706,0.8487271981158172,1.644817474142521e+18,
 52Tau Cet,5.68009966023162,0.45415848289590943,-0.2781977329824185,1.1254614222895904e+17,
 55Zet Cet,-0.759871349460687,0.48633676663108466,-0.18037882280038142,2.4508956167524787e+18,
  2Alp Tri,1.95230868815677,0.49341183749049133,0.5162578731169222,6.06581006780298e+17,
  5Gam2Ari,-0.104835564926447,0.49536554421987516,0.336745442752805,1.9333819432903311e+18,
 45Eps Cas,-2.30971819088479,0.4991411443048798,1.1112536979353291,4.181134934270145e+18,
  6Bet Ari,1.33152396537052,0.5002076574149082,0.36317333784155686,5.6369703717416416e+17,
   Chi Eri,2.47660048273336,0.5059151353963419,-0.9007572140320736,5.395484492903259e+17,
   Alp Hyi,1.16148080135365,0.5182080225162244,-1.0745979016821259,6.746125014191881e+17,
 59Ups Cet,-0.834853588988159,0.5236151223520731,-0.3678765191629398,2.846566034586135e+18,
113Alp Psc,0.67071423525551,0.5325290878193442,0.048236720112498896,1.315853979314018e+18,
 50    Cas,0.468139881919449,0.53859335909644,1.263989079744767,1.533636968932092e+18,
 57Gam1And,-3.08342244306944,0.5406098505550058,0.7387952250537904,3.3576469874769956e+18,
 13Alp Ari,0.482148454785415,0.5548900411197084,0.40950271781611336,6.236211765342304e+17,
  4Bet Tri,0.0948191535181135,0.5652336694818059,0.6106451877840556,1.17594420026348e+18,
   Phi Eri,0.177291834247339,0.5956299868859934,-0.8990559494567704,1.4651840367955238e+18,
  1Alp UMi,-3.63739102249397,0.6622852001051102,1.5579531129272508,4.0815841025018035e+18,Polaris
 86Gam Cet,1.46832389394208,0.7125397236401736,0.056481849928598775,7.756856665388065e+17,
 41    Ari,0.163466561716803,0.7416914362827884,0.4757905498741937,1.5088887929053156e+18,
 15Eta Per,-4.28416957817734,0.7448041864978245,0.9755610277932845,1.2594602373434149e+19,
 18Tau Per,-0.475371235871117,0.760342687022051,0.9208791704797866,2.346522875658838e+18,
  3Eta Eri,0.834943925623571,0.76980682913877,-0.15529258586958247,1.2599745126547046e+18,
   The1Eri,-0.591094243725088,0.777814390147609,-0.7034503283230005,1.526052216365664e+18,
 92Alp Cet,-1.60575898178345,0.7953450164613789,0.07138266421641318,2.0821036312357437e+18,
 23Gam Per,-1.56756444343802,0.8063268593710531,0.9338637289642406,2.425847155260512e+18,
 25Rho Per,-1.67349533489791,0.807978140683639,0.6778951837304449,3.076448236781028e+18,
 26Bet Per,-0.180991214203619,0.8210414013000533,0.7148109607383666,8.78109727231465e+17,
 27Kap Per,1.10573068363175,0.8268227590687239,0.7829178578460149,1.0621953808920371e+18,
   Alp For,3.05200573998579,0.8380692890134448,-0.5059553509239006,4.3546113201966886e+17,
 16Tau4Eri,-0.792983247223345,0.8705534800972755,-0.37974772810328933,2.4431334770319636e+18,
 33Alp Per,-4.50424200574107,0.8915249828887795,0.8702428561708494,5.600140801254766e+18,
  1Omi Tau,-0.449578131425308,0.8936694890119912,0.15758691332471353,2.0010879257401884e+18,
  2Xi  Tau,-0.43636972209974,0.9039439002339485,0.16986892372723056,2.1019602053755932e+18,
